Item Code,Avg. Rate,Qty
69004166,52.05,119
69004169,75,12
69004171,72.5,24
69004191,340,2
69004193,590,2
69004196,60,24
69004205,22,12
69004206,72.71,14
69004209,140,10
69004215,7.2,75
69004217,750,1
69048202,15,6
6910111,975,4
69118101,45.98,51
69118102,48.91,46
69119148,34.67,15
69119155,35,1
69119156,0.24,500
69119158,25.03,181
69119162,22.12,288
69119163,83.33,3
69119165,27.96,1122
69119220,30,6
69123169,275,4
69149102,35,4
69149103,12,1
69169112,24,36
69169119,18,255.1
69169120,100.77,130
69247101,11.36,60
69258113,2400,5
69258713,443,5
69262102,12.95,37
69262106,15.62,37
69262107,11.61,49
69328104,50,3
69328106,70,3
69342201,210.6,9
69359442,25,40
69359445,21,50
69391113,65,3
69391114,55.29,51
69429130,100,2
69442107,290,1
69442112,236,1
69442193,202,4
69442236,230.5,6
69477108,57.5,20
69477118,130,2.96
69477131,90,12
69477148,285,11
69477161,50,4
69477162,16,40
69477163,14,3
69504102,35,10
69504167,25,10
69576106,15.75,40
69617110,550,1
69617111,450,1
69643101,16,100
69643104,9.88,190
69643108,96,10
69643109,88.73,55
69643110,15.88,136
69706179,15,4
69776219,0.27,1900
69778102,0.65,200
69778105,0.39,288
69778107,0.42,288
69786306,320,1
90000063,61.43,14
90000067,25,1
90000182,50,4
90017141,3425,4
90543358,16.67,6
90594324,65,4
91003119,200,12
91007280,5.5,25
91007675,5,50
92017239,2850,1
92021142,43.61,255
92032252,9,100
92537190,375,3
92671214,162.5,4
92698347,1400,3
92736125,1700,1
92999935,150,6
93000000,120,3
95003161,5,6
95003162,5,6
95003163,7,6
95124484,30,12
95259154,90,8
95358116,8.4,100
95669226,15,5
96000014,90,10
960000142,550,1
96000112,291.67,12
97000068,795,2
97000088,186.15,13
98000002,20,3
98000022,8.39,594
98000046,500,2
98000087,208.75,8
98000088,363.81,31
98000089,3.54,1705
98000090,106,3
98000091,350,4
99000009,37,10
99000026,221.43,7
99000038,14.7,10
99000041,45,8
99000066,700,2
99000067,28.67,6
99000074,20,10
990000742,18,200
99000075,30,12
99000083,1.45,1244
99000084,1.3,1162
99000085,1.74,750
99000087,1,200
99000088,375,2
99000089,375,2
99000090,575,1
99000091,395.25,20
99000095,61.11,9
99000097,152.83,20
99000100,15,540
99000109,90,4
99000110,250,1
99000111,15,9
99000112,410,4
99000113,7.5,12
99000114,265,2
99000115,80,2
99000116,16.25,12
99000117,950,4
99000139,500,1
99000142,194.14,7
99000143,30.93,28
99000160,35.8,30
99000161,79.96,142
99000163,38,16
99000164,35,6
99000165,42.33,48
99000166,370,1
99000172,1100,1
99000174,35,20
99000183,170,2
99000184,550,1
99000192,433.33,3
99000197,71,22.4
99000199,70,5
99000206,1.82,450
99000207,200,2
99000208,449,1
99000209,150,1
99000210,160,4
69004147,42.5,48
69006001,694.79,237
69006002,511.42,113
69408105,7860.26,11
69408106,11000,1
69408107,9000,1
69408108,9000,1
98000001,191.05,109
990000320,0,-1400
990000333,5705.93,2
990000740,0,-22
990000741,917,64
99000082,0,-1700
69004147,885,1
69004154,80,1
69004214,5.19,366
69075107,60,42
69075108,22,150
98000076,26.46,931.5
98000086,93.5,2
99000011,17,192
99000012,25,201
99000144,25,6
99000185,14,120
99000186,490,3
99000187,200,32
51134151,87000,1
57050162,280,6
57050187,210.67,6
57052108,0,-1
57052128,0,-4
57052166,247,3
69359444,933.33,3
90000001,0,7
90000002,0,1
90000003,0,2
90000004,0,11
90000005,0,1
90000006,16266,1
90000007,0,1
90000008,0,1
90000009,0,1
90000010,0,1
90000011,0,1
